provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
ecologicallyoccurswith,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
ecology. host plants,,has host,http://purl.obolibrary.org/obo/RO_0002454
ectoparasite,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632
ectoparasite of,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632
ectoparasito de,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632
ectoparásito de,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632
ectoparásito,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632
ectoparásitos,,ectoparasite of,http://purl.obolibrary.org/obo/RO_0002632
epibionte,,has host,http://purl.obolibrary.org/obo/RO_0002454
epibiont,,has host,http://purl.obolibrary.org/obo/RO_0002454
epífita de,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501
epifita en,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501
epífita,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501
epiparásito,,hyperparasite of,http://purl.obolibrary.org/obo/RO_0002553
epiphyte on,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501
epiphytes,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501
epiphytic on,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501
epipihyte on,,epiphyte of,http://purl.obolibrary.org/obo/RO_0008501
especies acompañantes,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
especies asociadas,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
especies asociadsa,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
especies características,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
especies co-habitantes,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
flor visitada,,visits flower of,http://purl.obolibrary.org/obo/RO_0002622
found in association with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
found with host species,,has host,http://purl.obolibrary.org/obo/RO_0002454
fruto consumido,,eats,http://purl.obolibrary.org/obo/RO_0002470
fruto visitado,,visits,http://purl.obolibrary.org/obo/RO_0002618
growing with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
growingwith,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat an assoc. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat and assoc sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat and assoc. sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat and assoc. sp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat and assoc spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat and assoc. spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat and assoc. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat/associates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat & assoc. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat & assoc sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat & assoc. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat & asso. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
habitat & ass. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
has host,,has host,http://purl.obolibrary.org/obo/RO_0002454
hashost,,has host,http://purl.obolibrary.org/obo/RO_0002454
has hsot,,has host,http://purl.obolibrary.org/obo/RO_0002454
has parasite,,parasitized by,http://purl.obolibrary.org/obo/RO_0002445
hemiparásito,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
hiperparásito,,hyperparasite of,http://purl.obolibrary.org/obo/RO_0002553
hospedador de,,host of,http://purl.obolibrary.org/obo/RO_0002453
hospedante,,has host,http://purl.obolibrary.org/obo/RO_0002454
hospededero,,host of,http://purl.obolibrary.org/obo/RO_0002453
