provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
asscoiated spp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assc plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assc. plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assc pl,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assc. pl,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assc. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assc sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assication,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assiciates include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assic species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assicuated plants included,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
ass. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited dominant,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited herbs,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited plants included,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited taxa,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited taxa include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaited with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaites,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaite species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaites with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaition,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocaitions,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assoc. apecies,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assoc. app,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocated plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocated spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocated vegetation,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocates include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocation,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocation with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assocciates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
